

[31.10.2022, 18:8:25] - file name: 'news_routes.js', route: '/news', type request: 'GET', ip user: '::ffff:127.0.0.1'
[31.10.2022, 18:8:26] - file name: 'news_routes.js', route: '/news' , type request: 'POST', ip user: '::ffff:127.0.0.1'
[31.10.2022, 18:8:27] - file name: 'news_routes.js', route: '/news' , type request: 'DELETE', ip user: '::ffff:127.0.0.1'
[31.10.2022, 18:8:45] - file name: 'news_routes.js', route: '/news' , type request: 'POST', ip user: '::ffff:127.0.0.1'

[8.11.2022, 15:23:55] - file name: 'user_routes.js', route: '/user', type request: 'POST', ip user: '::ffff:127.0.0.1'
[8.11.2022, 15:24:44] - file name: 'user_routes.js', route: '/user', type request: 'POST', ip user: '::ffff:127.0.0.1'
[8.11.2022, 15:24:45] - file name: 'user_routes.js', route: '/user', type request: 'POST', ip user: '::ffff:127.0.0.1'
[8.11.2022, 15:24:45] - file name: 'user_routes.js', route: '/user', type request: 'POST', ip user: '::ffff:127.0.0.1'
[8.11.2022, 15:24:45] - file name: 'user_routes.js', route: '/user', type request: 'POST', ip user: '::ffff:127.0.0.1'
[8.11.2022, 15:24:45] - file name: 'user_routes.js', route: '/user', type request: 'POST', ip user: '::ffff:127.0.0.1'
[8.11.2022, 15:24:45] - file name: 'user_routes.js', route: '/user', type request: 'POST', ip user: '::ffff:127.0.0.1'
[8.11.2022, 15:24:45] - file name: 'user_routes.js', route: '/user', type request: 'POST', ip user: '::ffff:127.0.0.1'
[8.11.2022, 15:24:45] - file name: 'user_routes.js', route: '/user', type request: 'POST', ip user: '::ffff:127.0.0.1'
[8.11.2022, 15:24:46] - file name: 'user_routes.js', route: '/user', type request: 'POST', ip user: '::ffff:127.0.0.1'
[8.11.2022, 15:25:40] - file name: 'user_routes.js', route: '/user', type request: 'POST', ip user: '::ffff:127.0.0.1'
[8.11.2022, 15:26:33] - file name: 'user_routes.js', route: '/user', type request: 'POST', ip user: '::ffff:127.0.0.1'
[8.11.2022, 15:26:35] - file name: 'user_routes.js', route: '/user', type request: 'POST', ip user: '::ffff:127.0.0.1'
[8.11.2022, 15:26:35] - file name: 'user_routes.js', route: '/user', type request: 'POST', ip user: '::ffff:127.0.0.1'
[8.11.2022, 15:26:35] - file name: 'user_routes.js', route: '/user', type request: 'POST', ip user: '::ffff:127.0.0.1'
[8.11.2022, 15:26:58] - file name: 'user_routes.js', route: '/user', type request: 'POST', ip user: '::ffff:127.0.0.1'
[8.11.2022, 15:26:59] - file name: 'user_routes.js', route: '/user', type request: 'POST', ip user: '::ffff:127.0.0.1'
[8.11.2022, 15:26:59] - file name: 'user_routes.js', route: '/user', type request: 'POST', ip user: '::ffff:127.0.0.1'
[8.11.2022, 15:26:59] - file name: 'user_routes.js', route: '/user', type request: 'POST', ip user: '::ffff:127.0.0.1'


[8.11.2022, 15:42:22] - file name: 'news_routes.js', route: '/news', type request: 'GET', ip user: '::1'


[8.11.2022, 16:52:15] - file name: 'news_routes.js', route: '/news' , type request: 'DELETE', ip user: '::ffff:127.0.0.1'
[8.11.2022, 16:52:29] - file name: 'router_categories.js', route: '/categories' , type request: 'DELETE', ip user: '::ffff:127.0.0.1'
[8.11.2022, 16:52:29] - file name: 'router_categories.js', route: '/categories' , type request: 'DELETE', ip user: '::ffff:127.0.0.1'
[8.11.2022, 16:52:30] - file name: 'router_categories.js', route: '/categories' , type request: 'DELETE', ip user: '::ffff:127.0.0.1'
[8.11.2022, 16:52:30] - file name: 'router_categories.js', route: '/categories' , type request: 'DELETE', ip user: '::ffff:127.0.0.1'
[8.11.2022, 16:52:30] - file name: 'router_categories.js', route: '/categories' , type request: 'DELETE', ip user: '::ffff:127.0.0.1'
[8.11.2022, 16:52:31] - file name: 'router_categories.js', route: '/categories' , type request: 'DELETE', ip user: '::ffff:127.0.0.1'

[8.11.2022, 16:52:35] - file name: 'router_categories.js', route: '/categories' , type request: 'DELETE', ip user: '::ffff:127.0.0.1'
[8.11.2022, 16:52:35] - file name: 'router_categories.js', route: '/categories' , type request: 'DELETE', ip user: '::ffff:127.0.0.1'
[8.11.2022, 16:52:35] - file name: 'router_categories.js', route: '/categories' , type request: 'DELETE', ip user: '::ffff:127.0.0.1'
[8.11.2022, 16:52:35] - file name: 'router_categories.js', route: '/categories' , type request: 'DELETE', ip user: '::ffff:127.0.0.1'
[8.11.2022, 16:52:36] - file name: 'router_categories.js', route: '/categories' , type request: 'DELETE', ip user: '::ffff:127.0.0.1'
[8.11.2022, 16:52:36] - file name: 'router_categories.js', route: '/categories' , type request: 'DELETE', ip user: '::ffff:127.0.0.1'
